resume_id,bullet_id,bullet_text,task,score
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Evaluate and recommend upgrades or improvements to existing computerized healthcare systems.,0.40684670209884644
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Monitor clinical trials or experiments to ensure adherence to established procedures or to verify the quality of data collected.,0.4067428708076477
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.",Train other analysts to perform laboratory procedures and assays.,0.4058404564857483
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.","Prepare data analysis listings and activity, performance, or progress reports.",0.4019118845462799
642,1,"LLM Fine-Tuning & Evaluation (Healthcare Analytics): Fine Tuned a LLM on laboratory data, and evaluated against baseline LLM, allowing for open discussion on tradeoffs.","Plan, develop, maintain, or operate a variety of health record indexes or storage and retrieval systems to collect, classify, store, or analyze information.",0.3989940881729126
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,Select and enter codes to monitor database performance and to create production databases.,0.4906204342842102
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Identify, evaluate and recommend hardware or software technologies to achieve desired database performance.",0.48961812257766724
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Write and code logical and physical database descriptions, and specify identifiers of database to management system or direct others in coding descriptions.",0.48029854893684387
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Write and code logical and physical database descriptions and specify identifiers of database to management system, or direct others in coding descriptions.",0.478061318397522
642,2,Created an automated process using Cursor AI to interpret complex SQL code and craft operational definitions and examples for over 100 Key Performance Indicators.This allows our AI Chat Bot to answer customer questions within the context of the metric.,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",0.46382904052734375
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Develop data models and databases.,0.4916043281555176
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Design and implement warehouse database structures.,0.4535820484161377
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,Design or maintain databases of biological data.,0.4517834186553955
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,"Identify or monitor current and potential customers, using business intelligence tools.",0.45148739218711853
642,3,Innovative Problem Solving in Analytics: Developed and implemented one robust database design to store customer-specific population management data; easy to maintain but flexible enough so each customer can define their own,"Design databases to support business applications, ensuring system scalability, security, performance, and reliability.",0.4506535530090332
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.,0.5528945326805115
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Collaborate with senior managers and decision makers to identify and solve a variety of problems and to clarify management objectives.,0.5473771691322327
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.","Collaborate with product development teams to research, model, validate, or implement quantitative structured solutions for new or expanded markets.",0.5333770513534546
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Collaborate with field staff or customers to evaluate or diagnose problems and recommend possible solutions.,0.5306625366210938
642,4,"Collaborative Leadership in Technical Projects: Led end-to-end database releases, including overall coordination ,regression testing, and troubleshooting critical issues for high-profile deliverables.",Work as part of a project team to coordinate database development and determine project scope and limitations.,0.5197036862373352
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Monitor bug resolution efforts and track successes.,0.5172281265258789
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.","Disseminate information regarding tools, reports, or metadata enhancements.",0.4792717397212982
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.","Review existing or incoming data for currency, accuracy, usefulness, quality, or completeness of documentation.",0.4726078510284424
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.",Identify and correct deviations from database development standards.,0.4684262275695801
642,5,"Data-Driven Insights and Quality Improvements: Analyzed and resolved complex bugs, conducted deep dives into data quality issues, and implemented solutions that improved reporting accuracy.","Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",0.4576074779033661
642,6,Delivered insightful visualizations to support decision-making and client communication.,"Create graphs, charts, or other visualizations to convey the results of data analysis using specialized software.",0.5614219903945923
642,6,Delivered insightful visualizations to support decision-making and client communication.,"Draw charts and graphs, using computer spreadsheets, to illustrate technical reports.",0.5180579423904419
642,6,Delivered insightful visualizations to support decision-making and client communication.,"Review workflow charts developed by programmer analyst to understand tasks computer will perform, such as updating records.",0.4726600646972656
642,6,Delivered insightful visualizations to support decision-making and client communication.,Create client presentations of plan details.,0.46434926986694336
642,6,Delivered insightful visualizations to support decision-making and client communication.,"Prepare reports of findings, illustrating data graphically and translating complex findings into written text.",0.4578021466732025
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Identify business problems or management objectives that can be addressed through data analysis.,0.46362465620040894
642,7,Pro-bono data analysis services for mission-driven non profit organizations,"Identify solutions to business problems, such as budgeting, staffing, and marketing decisions, using the results of data analysis.",0.44515693187713623
642,7,Pro-bono data analysis services for mission-driven non profit organizations,"Develop and implement data extraction procedures from other systems, such as administration, billing, or claims.",0.44178491830825806
642,7,Pro-bono data analysis services for mission-driven non profit organizations,"Perform cost-benefit analyses to compare operating programs, review financial requests, or explore alternative financing methods.",0.4198302626609802
642,7,Pro-bono data analysis services for mission-driven non profit organizations,Recommend data-driven solutions to key stakeholders.,0.4124094843864441
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.","Develop data models for applications, metadata tables, views or related database structures.",0.4895154535770416
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Develop data models and databases.,0.4812506437301636
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Prepare and structure data warehouses for storing data.,0.4777774214744568
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.",Manage or analyze data obtained from remote sensing systems to obtain meaningful results.,0.46317964792251587
642,8,"Data Engineering: gathering, flattening, cleaning data lake telemetry data into organized tables enabling machine learning.","Process large amounts of data for statistical modeling and graphic analysis, using computers.",0.46290263533592224
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,"Test and verify hardware and support peripherals to ensure that they meet specifications and requirements, by recording and analyzing test data.",0.4452003836631775
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,"Design, build, or operate equipment configuration prototypes, including network hardware, software, servers, or server operation systems.",0.42846575379371643
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,"Develop and write procedures for installation, use, or troubleshooting of communications hardware or software.",0.41225466132164
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,Compare encoded tapes or computer printouts with original part specifications and blueprints to verify accuracy of instructions.,0.4040491282939911
642,9,Helped automate process to convert firmware dhall file to digital twin definition language to assess whether incoming telemetry data complies with design specifications.,"Analyze information to determine, recommend, and plan layout, including type of computers and peripheral equipment modifications.",0.4024389088153839
642,10,Profiled incoming telemetry data in real time to detect issues and anomalies.,"Perform web service network traffic analysis or waveform analysis to detect anomalies, such as unusual events or trends.",0.5956658124923706
642,10,Profiled incoming telemetry data in real time to detect issues and anomalies.,Monitor quality of remote sensing data collection operations to determine if procedural or equipment changes are necessary.,0.4932202994823456
642,10,Profiled incoming telemetry data in real time to detect issues and anomalies.,Monitor system operation to detect potential problems.,0.483496755361557
642,10,Profiled incoming telemetry data in real time to detect issues and anomalies.,"Monitor industry Web sites or publications for information about patches, releases, viruses, or potential problem identification.",0.4794158935546875
642,10,Profiled incoming telemetry data in real time to detect issues and anomalies.,"Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities.",0.4595765769481659
642,11,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if publication results were repeatable using Genetesis clinical study data•Created methodology for assessing significant,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,0.4983366131782532
642,11,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if publication results were repeatable using Genetesis clinical study data•Created methodology for assessing significant,Analyze clinical data using appropriate statistical tools.,0.4660147726535797
642,11,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if publication results were repeatable using Genetesis clinical study data•Created methodology for assessing significant,"Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy.",0.424302339553833
642,11,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if publication results were repeatable using Genetesis clinical study data•Created methodology for assessing significant,"Analyze clinical or survey data, using statistical approaches such as longitudinal analysis, mixed-effect modeling, logistic regression analyses, and model-building techniques.",0.4113963544368744
642,11,Applied statistical methods evaluating variables from two leading magentocardiography publications to determine if publication results were repeatable using Genetesis clinical study data•Created methodology for assessing significant,Prepare tables and graphs to present clinical data or results.,0.4039272964000702
642,12,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,"Test, validate, and reformulate models to ensure accurate prediction of outcomes of interest.",0.45015138387680054
642,12,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,"Identify, compile, abstract, and code patient data, using standard classification systems.",0.438799113035202
642,12,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,"Apply feature selection algorithms to models predicting outcomes of interest, such as sales, attrition, and healthcare use.",0.4270017743110657
642,12,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,Review clinical or other medical research protocols and recommend appropriate statistical analyses.,0.42570728063583374
642,12,Evaluated certain patient physical characteristics and impact on prediction model accuracy.,"Compare models using statistical performance metrics, such as loss functions or proportion of explained variance.",0.41511020064353943
642,13,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.",Analyze clinical data using appropriate statistical tools.,0.6414754986763
642,13,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.",Review clinical or other medical research protocols and recommend appropriate statistical analyses.,0.5942195653915405
642,13,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.",Calculate sample size requirements for clinical studies.,0.5901165008544922
642,13,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.",Prepare tables and graphs to present clinical data or results.,0.5676345825195312
642,13,"Automated calculation of Sensitivity, Specificity, Accuracy and Confidence Intervals for clinical study results.","Evaluate the statistical methods and procedures used to obtain data to ensure validity, applicability, efficiency, and accuracy.",0.5422030687332153
642,14,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of staff (b) comparing operational efficiencies leading to shared learning between departments.,Investigate or report questionable test results.,0.38656413555145264
642,14,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of staff (b) comparing operational efficiencies leading to shared learning between departments.,Monitor work productivity or quality to ensure compliance with standard operating procedures.,0.3270756006240845
642,14,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of staff (b) comparing operational efficiencies leading to shared learning between departments.,Conduct presentations of analytic findings.,0.3196456730365753
642,14,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of staff (b) comparing operational efficiencies leading to shared learning between departments.,Analyze equipment performance records to assess equipment functioning.,0.31008875370025635
642,14,Provided significance tests for cardiac surgery department (a) to determine volumes did not support reduction of staff (b) comparing operational efficiencies leading to shared learning between departments.,Write or revise standard quality control operating procedures.,0.30951282382011414
642,15,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.",Assign work to biostatistical assistants or programmers.,0.5492042899131775
642,15,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.","Conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.",0.4932129383087158
642,15,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.","Contribute to the compilation, organization, and production of protocols, clinical study reports, regulatory submissions, or other controlled documentation.",0.4636276066303253
642,15,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.",Provide biostatistical consultation to clients or colleagues.,0.45758020877838135
642,15,"Architected, programmed & delivered seminal work-flow to calculate utilization of anesthesiologists site wide.",Train medical records staff.,0.4514237940311432
642,16,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume procedures in cardiac surgery department.",Prepare tables and graphs to present clinical data or results.,0.41822656989097595
642,16,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume procedures in cardiac surgery department.","Prepare statistical reports, narrative reports, or graphic presentations of information, such as tumor registry data for use by hospital staff, researchers, or other users.",0.3944209814071655
642,16,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume procedures in cardiac surgery department.","Compile medical care and census data for statistical reports on diseases treated, surgery performed, or use of hospital beds.",0.3896216154098511
642,16,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume procedures in cardiac surgery department.",Prepare reports on logistics performance measures.,0.3860461115837097
642,16,"Provided data & dashboard to influence decision to use median procedure time vs ""one size fits all"" for high volume procedures in cardiac surgery department.",Analyze clinical data using appropriate statistical tools.,0.3854758143424988
642,17,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process needed to ETL historical data and do daily refreshes of the data.","Develop data models for applications, metadata tables, views or related database structures.",0.5482133626937866
642,17,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process needed to ETL historical data and do daily refreshes of the data.",Develop data models and databases.,0.5388492345809937
642,17,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process needed to ETL historical data and do daily refreshes of the data.","Develop data model describing data elements and their use, following procedures and using pen, template or computer software.",0.5381045937538147
642,17,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process needed to ETL historical data and do daily refreshes of the data.","Develop data models describing data elements and how they are used, following procedures and using pen, template, or computer software.",0.5208779573440552
642,17,"Created views, stored procedures and tables underpinning nurse scheduling optimization project; architected process needed to ETL historical data and do daily refreshes of the data.","Prepare data analysis listings and activity, performance, or progress reports.",0.4949691891670227
642,18,Prototyped optimization of nurse shift preferences with daily demand,Assign or schedule tasks to meet work priorities and goals.,0.3154316842556
642,18,Prototyped optimization of nurse shift preferences with daily demand,Train users to use new or modified equipment.,0.2872532606124878
642,18,Prototyped optimization of nurse shift preferences with daily demand,"Collect and analyze data on customer demographics, preferences, needs, and buying habits to identify potential markets and factors affecting product demand.",0.2867087125778198
642,18,Prototyped optimization of nurse shift preferences with daily demand,Contact carriers for rates or schedules.,0.2828666865825653
642,18,Prototyped optimization of nurse shift preferences with daily demand,"Reorganize shipping schedules to consolidate loads, maximize vehicle usage, or limit the movement of empty vehicles or containers.",0.2821063697338104
